value,product_id
42C27,52a103abd2a0e519d5000003
5D669,52a103abd2a0e519d5000003
27A38,52a103abd2a0e519d5000003
4677A,52a103abd2a0e519d5000003
F1A48,52a103abd2a0e519d5000003
C54EE,52a103abd2a0e519d5000003
E27B6,52a103abd2a0e519d5000003
A4744,52a103abd2a0e519d5000003
D0AC5,52a103abd2a0e519d5000003
14A3F,52a103abd2a0e519d5000003
CB35B,52a103abd2a0e519d5000003
3189E,52a103abd2a0e519d5000003
2FA59,52a103abd2a0e519d5000003
3D6D3,52a103abd2a0e519d5000003
2F316,52a103abd2a0e519d5000003
FB5AD,52a103abd2a0e519d5000003
95C74,52a103abd2a0e519d5000003
D8220,52a103abd2a0e519d5000003
344D6,52a103abd2a0e519d5000003
6C8B9,52a103abd2a0e519d5000003
69C7C,52a103abd2a0e519d5000003
EA657,52a103abd2a0e519d5000003
6C6BF,52a103abd2a0e519d5000003
4C0A9,52a103abd2a0e519d5000003
3A1BF,52a103abd2a0e519d5000003
29C59,52a103abd2a0e519d5000003
FDEE1,52a103abd2a0e519d5000003
F8F71,52a103abd2a0e519d5000003
E220C,52a103abd2a0e519d5000003
55E59,52a103abd2a0e519d5000003
7F930,52a103abd2a0e519d5000003
66E1F,52a103abd2a0e519d5000003
98F63,52a103abd2a0e519d5000003
BCA28,52a103abd2a0e519d5000003
ED7FC,52a103abd2a0e519d5000003
F4AF2,52a103abd2a0e519d5000003
AD062,52a103abd2a0e519d5000003
49BD9,52a103abd2a0e519d5000003
ED47F,52a103abd2a0e519d5000003
C1B0A,52a103abd2a0e519d5000003
547BA,52a103abd2a0e519d5000003
7CE1D,52a103abd2a0e519d5000003
1A883,52a103abd2a0e519d5000003
4A25F,52a103abd2a0e519d5000003
1784B,52a103abd2a0e519d5000003
661AD,52a103abd2a0e519d5000003
00350,52a103abd2a0e519d5000003
E2EDF,52a103abd2a0e519d5000003
33612,52a103abd2a0e519d5000003
C2591,52a103abd2a0e519d5000003
5A10E,52a103abd2a0e519d5000003
893BF,52a103abd2a0e519d5000003
EEFBD,52a103abd2a0e519d5000003
62B62,52a103abd2a0e519d5000003
6F630,52a103abd2a0e519d5000003
F970B,52a103abd2a0e519d5000003
AEDB8,52a103abd2a0e519d5000003
C2A78,52a103abd2a0e519d5000003
EA175,52a103abd2a0e519d5000003
0DFB4,52a103abd2a0e519d5000003
47893,52a103abd2a0e519d5000003
9C059,52a103abd2a0e519d5000003
FD9DC,52a103abd2a0e519d5000003
C31F3,52a103abd2a0e519d5000003
22687,52a103abd2a0e519d5000003
87659,52a103abd2a0e519d5000003
D4D63,52a103abd2a0e519d5000003
0C039,52a103abd2a0e519d5000003
150B2,52a103abd2a0e519d5000003
F0A87,52a103abd2a0e519d5000003
CBE21,52a103abd2a0e519d5000003
C5B4D,52a103abd2a0e519d5000003
02266,52a103abd2a0e519d5000003
FE24C,52a103abd2a0e519d5000003
E94DA,52a103abd2a0e519d5000003
70E33,52a103abd2a0e519d5000003
EA4E9,52a103abd2a0e519d5000003
0ECA9,52a103abd2a0e519d5000003
734B1,52a103abd2a0e519d5000003
27720,52a103abd2a0e519d5000003
5B352,52a103abd2a0e519d5000003
B74CE,52a103abd2a0e519d5000003
DE2DB,52a103abd2a0e519d5000003
02529,52a103abd2a0e519d5000003
6E58A,52a103abd2a0e519d5000003
295D5,52a103abd2a0e519d5000003
DB583,52a103abd2a0e519d5000003
AB6AE,52a103abd2a0e519d5000003
3D4A6,52a103abd2a0e519d5000003
B7D21,52a103abd2a0e519d5000003
B01B6,52a103abd2a0e519d5000003
9277C,52a103abd2a0e519d5000003
3B223,52a103abd2a0e519d5000003
FB8FC,52a103abd2a0e519d5000003
65CC7,52a103abd2a0e519d5000003
49E0C,52a103abd2a0e519d5000003
CFB85,52a103abd2a0e519d5000003
6F903,52a103abd2a0e519d5000003
F7AC4,52a103abd2a0e519d5000003
7B36B,52a103abd2a0e519d5000003
15C4A,52a103abd2a0e519d5000003
89AC7,52a103abd2a0e519d5000003
A71E6,52a103abd2a0e519d5000003
9A6D5,52a103abd2a0e519d5000003
A5F5F,52a103abd2a0e519d5000003
469B1,52a103abd2a0e519d5000003
66508,52a103abd2a0e519d5000003
7D8FE,52a103abd2a0e519d5000003
B4D47,52a103abd2a0e519d5000003
D5EB3,52a103abd2a0e519d5000003
D4316,52a103abd2a0e519d5000003
0777B,52a103abd2a0e519d5000003
78960,52a103abd2a0e519d5000003
560E4,52a103abd2a0e519d5000003
9C547,52a103abd2a0e519d5000003
5BD74,52a103abd2a0e519d5000003
0DBC3,52a103abd2a0e519d5000003
89B38,52a103abd2a0e519d5000003
D54A8,52a103abd2a0e519d5000003
F676A,52a103abd2a0e519d5000003
1C229,52a103abd2a0e519d5000003
847A3,52a103abd2a0e519d5000003
C859F,52a103abd2a0e519d5000003
D6474,52a103abd2a0e519d5000003
811E1,52a103abd2a0e519d5000003
3A425,52a103abd2a0e519d5000003
27AFD,52a103abd2a0e519d5000003
9903C,52a103abd2a0e519d5000003
FBA1C,52a103abd2a0e519d5000003
0EBFF,52a103abd2a0e519d5000003
1423F,52a103abd2a0e519d5000003
832CE,52a103abd2a0e519d5000003
C9D53,52a103abd2a0e519d5000003
EF612,52a103abd2a0e519d5000003
12658,52a103abd2a0e519d5000003
1BFDF,52a103abd2a0e519d5000003
E8163,52a103abd2a0e519d5000003
723ED,52a103abd2a0e519d5000003
C8D49,52a103abd2a0e519d5000003
2B319,52a103abd2a0e519d5000003
EBD95,52a103abd2a0e519d5000003
3340F,52a103abd2a0e519d5000003
0C60B,52a103abd2a0e519d5000003
CA031,52a103abd2a0e519d5000003
2C57B,52a103abd2a0e519d5000003
1A3EC,52a103abd2a0e519d5000003
51EFA,52a103abd2a0e519d5000003
9ACAE,5373e4626c75e815f5000001
DD5EA,5373e4626c75e815f5000001
02077,5373e4626c75e815f5000001
9D0AE,5373e4626c75e815f5000001
1CCAB,5373e4626c75e815f5000001
1BC83,5373e4626c75e815f5000001
7AD9F,5373e4626c75e815f5000001
D2A11,5373e4626c75e815f5000001
77419,5373e4626c75e815f5000001
6B5BD,5373e4626c75e815f5000001
BD2E5,5373e4626c75e815f5000001
756A0,5373e4626c75e815f5000001
0D0C8,5373e4626c75e815f5000001
115D4,5373e4626c75e815f5000001
241CD,5373e4626c75e815f5000001
B9C76,5373e4626c75e815f5000001
ADDBA,5373e4626c75e815f5000001
5D897,5373e4626c75e815f5000001
C5EA4,5373e4626c75e815f5000001
A1529,5373e4626c75e815f5000001
1C912,5373e4626c75e815f5000001
F32EE,5373e4626c75e815f5000001
DAE06,5373e4626c75e815f5000001
FA39C,5373e4626c75e815f5000001
582AA,5373e4626c75e815f5000001
7409F,5373e4626c75e815f5000001
D3309,5373e4626c75e815f5000001
895F3,5373e4626c75e815f5000001
86990,5373e4626c75e815f5000001
DE987,5373e4626c75e815f5000001
B0472,5373e4626c75e815f5000001
88DF8,5373e4626c75e815f5000001
E1CBB,5373e4626c75e815f5000001
0076B,5373e4626c75e815f5000001
4DE4D,5373e4626c75e815f5000001
2F91E,5373e4626c75e815f5000001
3D443,5373e4626c75e815f5000001
1088E,5373e4626c75e815f5000001
C7C68,5373e4626c75e815f5000001
3D3CE,5373e4626c75e815f5000001
